mmsi,vessel_name,vessel_type,timestamp,lon,lat,sog,cog,heading,nav_status,data_source
419000101,PACIFIC PEARL,Tanker,2026-09-06T14:00:00+00:00,72.18,18.78,14.5,62.0,62.0,0,synthetic
419000101,PACIFIC PEARL,Tanker,2026-09-06T14:15:00+00:00,72.1875,18.785417,14.5,62.0,62.0,0,synthetic
419000101,PACIFIC PEARL,Tanker,2026-09-06T14:30:00+00:00,72.195,18.790833,14.5,62.0,62.0,0,synthetic
419000101,PACIFIC PEARL,Tanker,2026-09-06T14:45:00+00:00,72.2025,18.79625,14.5,62.0,62.0,0,synthetic
419000101,PACIFIC PEARL,Tanker,2026-09-06T15:00:00+00:00,72.21,18.801667,14.5,62.0,62.0,0,synthetic
419000101,PACIFIC PEARL,Tanker,2026-09-06T15:15:00+00:00,72.2175,18.807083,14.5,62.0,62.0,0,synthetic
419000101,PACIFIC PEARL,Tanker,2026-09-06T15:30:00+00:00,72.225,18.8125,14.5,62.0,62.0,0,synthetic
419000101,PACIFIC PEARL,Tanker,2026-09-06T15:45:00+00:00,72.2325,18.817917,14.5,62.0,62.0,0,synthetic
419000101,PACIFIC PEARL,Tanker,2026-09-06T16:00:00+00:00,72.24,18.823333,14.5,62.0,62.0,0,synthetic
419000101,PACIFIC PEARL,Tanker,2026-09-06T16:15:00+00:00,72.2475,18.82875,14.5,62.0,62.0,0,synthetic
419000101,PACIFIC PEARL,Tanker,2026-09-06T16:30:00+00:00,72.255,18.834167,14.5,62.0,62.0,0,synthetic
419000101,PACIFIC PEARL,Tanker,2026-09-06T16:45:00+00:00,72.2625,18.839583,14.5,62.0,62.0,0,synthetic
419000101,PACIFIC PEARL,Tanker,2026-09-06T17:00:00+00:00,72.27,18.845,14.5,62.0,62.0,0,synthetic
419000101,PACIFIC PEARL,Tanker,2026-09-06T17:00:00+00:00,72.27,18.845,5.8,65.0,64.0,0,synthetic
419000101,PACIFIC PEARL,Tanker,2026-09-06T17:15:00+00:00,72.275,18.85,5.8,65.0,64.0,0,synthetic
419000101,PACIFIC PEARL,Tanker,2026-09-06T17:30:00+00:00,72.28,18.855,5.8,65.0,64.0,0,synthetic
419000101,PACIFIC PEARL,Tanker,2026-09-06T17:45:00+00:00,72.285,18.86,5.8,65.0,64.0,0,synthetic
